,Bolivia,Beni,Chuquisaca,Cochabamba,La Paz,Oruro,Pando,Potosí,Santa Cruz,Tarija
2021-02-03,0,0,0,0,0,0,0,0,0,0
2021-02-04,0,0,0,0,0,0,0,0,0,0
2021-02-05,0,0,0,0,0,0,0,0,0,0
2021-02-06,0,0,0,0,0,0,0,0,0,0
2021-02-07,0,0,0,0,0,0,0,0,0,0
2021-02-08,0,0,0,0,0,0,0,0,0,0
2021-02-09,0,0,0,0,0,0,0,0,0,0
2021-02-10,0,0,0,0,0,0,0,0,0,0
2021-02-22,0,0,0,0,0,0,0,0,0,0
2021-02-23,820,6,112,142,19,25,154,69,244,49
2021-02-24,1604,36,154,422,233,74,110,50,375,150
2021-02-25,3996,1,23,732,1654,182,90,92,1045,177
2021-02-28,1072,194,225,0,0,206,76,100,0,271
2021-03-02,1460,232,243,305,0,210,0,201,146,123
2021-03-03,378,4,0,36,0,0,0,81,252,5
2021-03-04,160,6,22,3,0,2,0,49,78,0
2021-03-05,85,7,34,0,0,1,8,25,7,3
2021-03-06,0,0,0,0,0,0,0,0,0,0
2021-03-07,0,0,0,0,0,0,0,0,0,0
2021-03-08,45,21,0,0,0,0,5,19,0,0
2021-03-09,40,3,0,0,0,0,0,34,1,2
2021-03-10,8,0,0,0,0,0,0,2,6,0
2021-03-11,60,1,38,0,0,0,0,12,4,5
2021-03-12,13,0,8,0,0,0,4,0,1,0
2021-03-13,0,0,0,0,0,0,0,0,0,0
2021-03-14,0,0,0,0,0,0,0,0,0,0
2021-03-15,45,39,0,0,0,6,0,0,0,0
2021-03-16,11,0,0,0,0,0,0,11,0,0
2021-03-17,54,44,0,0,0,0,0,10,0,0
2021-03-18,1068,3,0,0,1,140,0,1,887,36
2021-03-19,5810,0,768,0,1019,1141,0,9,2665,208
2021-03-20,1633,48,227,0,337,937,0,0,52,32
2021-03-21,930,0,109,0,150,650,0,0,0,21
2021-03-22,8733,178,1289,314,2643,884,219,120,2435,651
2021-03-23,13907,513,2291,2213,4376,473,155,445,2217,1224
2021-03-24,15155,630,1649,3498,3892,270,103,783,3522,808
2021-03-25,14144,826,956,3510,2600,289,176,964,3797,1026
2021-03-26,14466,1110,488,3474,2907,312,103,867,4400,805
2021-03-27,2408,193,47,787,528,69,6,149,344,285
2021-03-28,403,90,15,70,194,0,0,27,2,5
2021-03-29,6608,352,296,926,1902,329,95,394,2120,194
2021-03-30,7040,289,248,1245,1504,235,91,294,2782,352
2021-03-31,6939,235,245,1499,1565,149,88,244,2378,536
2021-04-01,5407,159,362,1069,1570,162,72,198,1286,529
2021-04-02,1256,10,405,498,143,7,58,25,83,27
2021-04-03,724,12,6,308,218,9,3,15,28,125
2021-04-04,386,0,12,8,324,0,10,15,10,7
2021-04-05,6629,323,214,1347,2039,198,108,357,1271,772
2021-04-06,4661,104,218,878,1266,91,134,158,1112,700
2021-04-07,4324,124,448,969,906,104,59,164,858,692
2021-04-08,4380,143,448,900,1048,118,91,239,948,445
2021-04-09,3969,66,357,610,1295,84,34,205,872,446
2021-04-10,457,9,51,62,164,22,0,69,29,51
2021-04-11,167,34,0,31,27,1,9,27,36,2
2021-04-12,2761,131,217,641,619,111,31,231,554,226
2021-04-13,3769,87,298,1488,572,169,51,209,683,212
2021-04-14,5022,113,310,2428,811,164,85,251,749,111
2021-04-15,5603,98,292,2959,774,177,90,265,927,21
2021-04-16,6343,176,170,3192,900,216,134,252,1077,226
2021-04-17,728,20,2,304,210,24,13,29,59,67
2021-04-18,200,8,0,51,91,1,2,29,0,18
2021-04-19,5414,83,118,2228,929,95,56,169,1660,76
2021-04-20,5619,122,55,1464,1177,119,59,327,2219,77
2021-04-21,5599,97,92,770,1085,267,34,296,2886,72
2021-04-22,5933,186,126,901,1157,151,16,351,2943,102
2021-04-23,1819,32,25,211,349,52,35,99,913,103
2021-04-24,315,11,2,50,67,38,1,79,59,8
2021-04-25,234,2,7,34,111,10,5,65,0,0
2021-04-26,7135,150,84,2366,1248,188,8,608,2417,66
2021-04-27,7829,468,111,2360,1492,422,22,939,1808,207
2021-04-28,8585,582,419,1510,1752,681,28,1025,2301,287
2021-04-29,7930,742,507,1144,1376,908,68,968,1834,383
2021-04-30,11605,673,2859,977,2270,891,40,890,2571,434
2021-05-01,-559,73,-1915,85,492,401,45,40,178,42
2021-05-02,1207,38,18,137,355,411,3,162,57,26
2021-05-03,6113,438,396,896,1387,415,37,419,1779,346
2021-05-04,5953,588,608,856,1140,359,26,508,1396,472
2021-05-05,4964,619,547,378,1039,320,47,506,1260,248
2021-05-06,4520,432,460,429,816,214,46,600,1380,143
2021-05-07,5800,648,250,369,1387,281,73,421,2221,150
2021-05-08,1885,170,257,128,584,311,24,129,254,28
2021-05-09,665,25,72,34,245,80,5,134,53,17
2021-05-10,4667,500,224,324,1185,149,29,425,1640,191
2021-05-11,4257,490,293,119,1286,219,32,329,1339,150
2021-05-12,3022,160,174,185,1167,102,11,383,626,214
2021-05-13,3379,414,96,216,965,70,50,165,891,512
2021-05-14,3593,385,169,181,1069,117,73,287,1026,286
2021-05-15,1008,83,39,25,587,31,2,102,84,55
2021-05-16,902,8,73,44,467,43,9,251,6,1
2021-05-17,3078,390,72,104,856,66,107,535,728,220
2021-05-18,3177,442,141,39,946,124,116,468,686,215
2021-05-19,2540,377,115,66,849,30,148,275,495,185
2021-05-20,2309,242,22,68,884,13,225,172,470,213
2021-05-21,2022,191,139,101,837,16,124,102,349,163
2021-05-22,924,73,225,50,440,7,52,83,-60,54
2021-05-23,836,35,324,3,234,0,59,11,166,4
2021-05-24,2438,158,220,66,674,5,103,102,978,132
2021-05-25,9729,114,664,2628,1032,9,86,264,4580,352
2021-05-26,13695,126,555,2717,4283,1722,83,156,3627,426
2021-05-27,13804,89,270,2972,7222,473,65,121,2235,357
2021-05-28,5360,264,199,77,3064,60,27,97,1065,507
2021-05-29,1253,56,358,3,345,4,42,204,4,237
2021-05-30,616,51,224,10,253,0,8,52,8,10
2021-05-31,2829,175,536,41,804,19,125,131,502,496
2021-06-01,2913,161,436,124,995,215,53,191,291,447
2021-06-02,2146,226,95,175,648,133,71,152,246,400
2021-06-03,928,80,131,185,203,12,37,65,181,34
2021-06-04,14633,215,416,2458,7275,46,57,175,3853,138
2021-06-05,3824,77,1043,387,1346,176,14,106,620,55
2021-06-06,760,2,9,275,152,169,38,47,56,12
2021-06-07,32571,134,5,13280,7739,1229,88,78,8939,1079
2021-06-08,41289,207,1429,12731,9265,2624,369,201,11928,2535
2021-06-09,28276,194,2139,7363,7714,1693,183,218,7857,915
2021-06-10,19140,173,1689,5067,5879,830,264,261,4392,585
2021-06-11,22660,287,1636,5105,6726,885,236,604,6072,1109
